sample_id	depth	aliquot	prep_lab	analysis_lab	nuclide	N	dN	standard	standard_N	standard_dN	N4	dN4	outlier
LABCO-01	24.5	a	LDEO	LDEO	10	5213499.626	145350.7612	07KNSTD	NaN	NaN	NaN	NaN	0
LABCO-02	34.5	a	LDEO	LDEO	10	4392365.549	117289.2801	07KNSTD	NaN	NaN	NaN	NaN	0
LABCO-03	49.5	a	LDEO	LDEO	10	3281750.063	105946.6239	07KNSTD	NaN	NaN	NaN	NaN	0
LABCO-04	59.5	a	LDEO	LDEO	10	2597732.614	81099.58427	07KNSTD	NaN	NaN	NaN	NaN	0
LABCO-05	84	a	LDEO	LDEO	10	1569087.766	58971.68713	07KNSTD	NaN	NaN	NaN	NaN	0
LABCO-06	104	a	LDEO	LDEO	10	900611.0985	45879.90653	07KNSTD	NaN	NaN	NaN	NaN	1
LABCO-06	104	b	LDEO	LDEO	10	1106684.238	43222.98553	07KNSTD	NaN	NaN	NaN	NaN	0
LABCO-07	125	a	LDEO	LDEO	10	778285.5844	42171.28191	07KNSTD	NaN	NaN	NaN	NaN	0
LABCO-08	144	a	LDEO	LDEO	10	525224.5129	35360.36495	07KNSTD	NaN	NaN	NaN	NaN	0
LABCO-09	164	a	LDEO	LDEO	10	432411.1524	38623.92123	07KNSTD	NaN	NaN	NaN	NaN	0
LABCO-01	24.5	a	LDEO	LDEO	3	331344835	6178606.656	CRONUS-P	5157915672	184773464.4	5.90E+13	8.44E+11	0
LABCO-02	34.5	a	LDEO	LDEO	3	266188219.4	5241113.485	CRONUS-P	5157915672	184773464.4	6.58E+13	9.36E+11	0
LABCO-03	49.5	a	LDEO	LDEO	3	203844079.6	5264839.622	CRONUS-P	5157915672	184773464.4	7.45E+13	2.41E+12	0
LABCO-04	59.5	a	LDEO	LDEO	3	172623849.5	4373150.612	CRONUS-P	5157915672	184773464.4	5.93E+13	2.08E+12	0
LABCO-05	84	a	LDEO	LDEO	3	99578867.28	2344734.117	CRONUS-P	5157915672	184773464.4	5.56E+13	7.95E+11	0
LABCO-06	104	a	LDEO	LDEO	3	67370163.53	2071601.527	CRONUS-P	5157915672	184773464.4	3.85E+13	2.04E+12	0
LABCO-08	144	a	LDEO	LDEO	3	41125671.64	1466537.781	CRONUS-P	5157915672	184773464.4	4.81E+13	2.11E+12	0
LABCO-09	164	a	LDEO	LDEO	3	30041521.03	1237903.102	CRONUS-P	5157915672	184773464.4	4.12E+13	2.01E+12	0
